kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Acanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Aceraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Achariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Achatocarpaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,Acoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Actinidiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Adoxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Aextoxicaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Agavaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Agdestidaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,Aitchinsoniellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Aizoaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,Akaniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Alangiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,Alismataceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Alliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Aloaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Alseuosmiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Alstroemeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Alzateaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Amaranthaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Amaryllidaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Amblystegiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,Amborellaceae
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,AMBUCHANANIALES,Ambuchananiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Anacardiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,RESTIONALES,Anarthriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Ancistrocladaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SCHIZAEALES,Anemiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,Anisophylleaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Annonaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Anthericaceae
PLANTAE,ANTHOCERATOPHYTA,ANTHOCEROTOPSIDA,ANTHOCEROTALES,Anthocerotaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Aphyllanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,Apiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Apocynaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Aponogetonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Aquifoliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,Araceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,Araliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Aralidiaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Araucariaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,Archidiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,Arecaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ARISTOLOCHIALES,Aristolochiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Asclepiadaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Asparagaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Asphodelaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Aspleniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Asteliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,Asteraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Asteropeiaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Athyriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Aucubaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Austrobaileyaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Avicenniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Balanitaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,Balanopaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Balanophoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,Balsaminaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Barbeuiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,Barbeyaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Basellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BATALES,Bataceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,Begoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,Berberidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,Betulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Bignoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Bixaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Blandfordiaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Blechnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,Bombacaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,BONNEMAISONIALES,Bonnemaisoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,Bonnetiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Boraginaceae
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,Boweniaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Brachytheciaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,Brassicaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Bretschneideraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Bromeliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,Brunelliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Bruniaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,Bryaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYOXIPHIALES,Bryoxiphiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Buddlejaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ORCHIDALES,Burmanniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Burseraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,Butomaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BUXALES,Buxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Byblidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES,Cabombaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Cactaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Calectasiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CALLITRICHALES,Callitrichaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,Calophyllaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Calycanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CALYCERALES,Calyceraceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Calypogeiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAMPANULALES,Campanulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Canellaceae
